BA Code,Timestamp (Hour Ending),Demand (MWh),Demand Forecast (MWh),Net Generation (MWh),Total Interchange (MWh),,time (hour),day,Demand (MWh)
SCL,11/2/2021 12 a.m. PDT,1015,950,492,-523,,12:00:00 AM,11/2/21,1015
SCL,11/2/2021 1 a.m. PDT,957,903,451,-506,,1:00:00 AM,11/2/21,957
SCL,11/2/2021 2 a.m. PDT,920,872,428,-492,,2:00:00 AM,11/2/21,920
SCL,11/2/2021 3 a.m. PDT,902,867,417,-485,,3:00:00 AM,11/2/21,902
SCL,11/2/2021 4 a.m. PDT,914,870,422,-492,,4:00:00 AM,11/2/21,914
SCL,11/2/2021 5 a.m. PDT,954,905,453,-501,,5:00:00 AM,11/2/21,954
SCL,11/2/2021 6 a.m. PDT,1035,998,693,-342,,6:00:00 AM,11/2/21,1035
SCL,11/2/2021 7 a.m. PDT,1168,1129,655,-513,,7:00:00 AM,11/2/21,1168
SCL,11/2/2021 8 a.m. PDT,1291,1231,746,-545,,8:00:00 AM,11/2/21,1291
SCL,11/2/2021 9 a.m. PDT,1304,1229,828,-476,,9:00:00 AM,11/2/21,1304
SCL,11/2/2021 10 a.m. PDT,1265,1212,848,-417,,10:00:00 AM,11/2/21,1265
SCL,11/2/2021 11 a.m. PDT,1242,1193,820,-422,,11:00:00 AM,11/2/21,1242
SCL,11/2/2021 12 p.m. PDT,1268,1177,772,-496,,12:00:00 PM,11/2/21,1268
SCL,11/2/2021 1 p.m. PDT,1311,1160,685,-626,,1:00:00 PM,11/2/21,1311
SCL,11/2/2021 2 p.m. PDT,1296,1122,662,-634,,2:00:00 PM,11/2/21,1296
SCL,11/2/2021 3 p.m. PDT,1278,1095,605,-673,,3:00:00 PM,11/2/21,1278
SCL,11/2/2021 4 p.m. PDT,1279,1097,681,-598,,4:00:00 PM,11/2/21,1279
SCL,11/2/2021 5 p.m. PDT,1293,1132,764,-529,,5:00:00 PM,11/2/21,1293
SCL,11/2/2021 6 p.m. PDT,1317,1179,831,-486,,6:00:00 PM,11/2/21,1317
SCL,11/2/2021 7 p.m. PDT,1325,1215,877,-448,,7:00:00 PM,11/2/21,1325
SCL,11/2/2021 8 p.m. PDT,1283,1187,855,-428,,8:00:00 PM,11/2/21,1283
SCL,11/2/2021 9 p.m. PDT,1236,1136,646,-590,,9:00:00 PM,11/2/21,1236
SCL,11/2/2021 10 p.m. PDT,1170,1071,615,-555,,10:00:00 PM,11/2/21,1170
SCL,11/2/2021 11 p.m. PDT,1088,998,511,-577,,11:00:00 PM,11/2/21,1088
SCL,11/3/2021 12 a.m. PDT,1000,910,485,-515,,12:00:00 AM,11/3/21,1000
SCL,11/3/2021 1 a.m. PDT,942,898,516,-426,,1:00:00 AM,11/3/21,942
SCL,11/3/2021 2 a.m. PDT,903,856,477,-426,,2:00:00 AM,11/3/21,903
SCL,11/3/2021 3 a.m. PDT,879,849,461,-418,,3:00:00 AM,11/3/21,879
SCL,11/3/2021 4 a.m. PDT,888,847,457,-431,,4:00:00 AM,11/3/21,888
SCL,11/3/2021 5 a.m. PDT,916,878,449,-467,,5:00:00 AM,11/3/21,916
SCL,11/3/2021 6 a.m. PDT,1000,966,583,-417,,6:00:00 AM,11/3/21,1000
SCL,11/3/2021 7 a.m. PDT,1131,1089,758,-373,,7:00:00 AM,11/3/21,1131
SCL,11/3/2021 8 a.m. PDT,1247,1199,804,-443,,8:00:00 AM,11/3/21,1247
SCL,11/3/2021 9 a.m. PDT,1263,1203,796,-467,,9:00:00 AM,11/3/21,1263
SCL,11/3/2021 10 a.m. PDT,1259,1190,758,-501,,10:00:00 AM,11/3/21,1259
SCL,11/3/2021 11 a.m. PDT,1249,1173,611,-638,,11:00:00 AM,11/3/21,1249
SCL,11/3/2021 12 p.m. PDT,1225,1150,630,-595,,12:00:00 PM,11/3/21,1225
SCL,11/3/2021 1 p.m. PDT,1210,1138,589,-621,,1:00:00 PM,11/3/21,1210
SCL,11/3/2021 2 p.m. PDT,1195,1116,554,-641,,2:00:00 PM,11/3/21,1195
SCL,11/3/2021 3 p.m. PDT,1183,1099,725,-458,,3:00:00 PM,11/3/21,1183
SCL,11/3/2021 4 p.m. PDT,1183,1095,720,-463,,4:00:00 PM,11/3/21,1183
SCL,11/3/2021 5 p.m. PDT,1196,1124,795,-401,,5:00:00 PM,11/3/21,1196
SCL,11/3/2021 6 p.m. PDT,1230,1165,800,-430,,6:00:00 PM,11/3/21,1230
SCL,11/3/2021 7 p.m. PDT,1256,1183,856,-400,,7:00:00 PM,11/3/21,1256
SCL,11/3/2021 8 p.m. PDT,1220,1159,806,-414,,8:00:00 PM,11/3/21,1220
SCL,11/3/2021 9 p.m. PDT,1175,1111,773,-402,,9:00:00 PM,11/3/21,1175
SCL,11/3/2021 10 p.m. PDT,1122,1048,704,-418,,10:00:00 PM,11/3/21,1122
SCL,11/3/2021 11 p.m. PDT,1042,969,768,-274,,11:00:00 PM,11/3/21,1042
SCL,11/4/2021 12 a.m. PDT,940,893,697,-243,,12:00:00 AM,11/4/21,940
SCL,11/4/2021 1 a.m. PDT,857,857,606,-251,,1:00:00 AM,11/4/21,857
SCL,11/4/2021 2 a.m. PDT,825,823,601,-224,,2:00:00 AM,11/4/21,825
SCL,11/4/2021 3 a.m. PDT,810,815,584,-226,,3:00:00 AM,11/4/21,810
SCL,11/4/2021 4 a.m. PDT,797,812,572,-225,,4:00:00 AM,11/4/21,797
SCL,11/4/2021 5 a.m. PDT,823,836,520,-303,,5:00:00 AM,11/4/21,823
SCL,11/4/2021 6 a.m. PDT,901,916,494,-407,,6:00:00 AM,11/4/21,901
